title.x,author.x,author_last.x,title.y,author.y,author_last.y,text_string,occurs,publication_country,formatted_address,country_long,admin_1_long,locality,lat,lon,dist
the man who fell to earth ,"Tevis, Walter S.",Tevis,The man who fell to Earth,"Tevis, Walter S",Tevis,newton,43,US,"Newton, MA, USA",United States,Massachusetts,Newton,42.33704,-71.20922,1
"edwin mullhouse : the life and death of an american writer, 1943-1954, by jeffrey cartwright : a novel ","Millhauser, Steven",Millhauser,"Edwin Mullhouse: the life and death of an American writer, 1943-1954","Millhauser, Steven",Millhauser,penn,71,US,"Pennsylvania, USA",United States,Pennsylvania,,41.2033216,-77.1945247,0
seven japanese tales. ,"Tanizaki, Jun'ichirō",Tanizaki,Seven Japanese tales,"Tanizaki, Junʼichirō",Tanizaki,kyoto,29,,"Kyoto, Kyoto Prefecture, Japan",Japan,Kyoto Prefecture,Kyoto,35.0116363,135.7680294,1
the wings of the dove ,"James, Henry",James,The wings of the dove,"James, Henry",James,london,78,GB,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
who slashed celanire's throat? : a fantastical tale ,"Condé, Maryse",Condé,Who slashed Celanire's throat? : a fantastical tale,"Condé, Maryse",Condé,guadeloupe,55,US,Guadeloupe,Guadeloupe,,,16.265,-61.551,0
the inn at lake devine ,"Lipman, Elinor",Lipman,The Inn at Lake Devine : a novel,"Lipman, Elinor",Lipman,newton,18,US,"Newton, MA, USA",United States,Massachusetts,Newton,42.33704,-71.20922,0
the triumph of the spider monkey ,"Oates, Joyce Carol",Oates,The triumph of the spider monkey : a first-person confession by the maniac Bobbie Gotteson,"Oates, Joyce Carol",Oates,el portal,5,US,"El Portal Restaurant, 695 E Green St, Pasadena, CA 91101, USA",United States,California,Pasadena,34.14516,-118.136,0
the last dance : a novel of the 87th precinct ,"McBain, Ed",McBain,The last dance : a novel of the 87th Precinct,"McBain, Ed",McBain,london,30,US,"London, UK",United Kingdom,England,London,51.50735,-0.1277583,0
selected works: spillway; the antiphon; nightwood.,"Barnes, Djuna",Barnes,Selected works: Spillway The antiphon Nightwood,"Barnes, Djuna",Barnes,paris,27,US,"Paris, France",France,Île-de-France,Paris,48.856614,2.3522219,0
the twelfth physician.,"Gibbs, Willa",Gibbs,The twelfth physician,"Gibbs, Willa",Gibbs,france,82,US,France,France,,,46.227638,2.213749,0
lilac and flag : an old wives' tale of a city ,"Berger, John",Berger,Lilac and flag : an old wives' tale of a city,"Berger, John",Berger,cachan,8,GB,"Cachan, France",France,Île-de-France,Cachan,48.79185,2.331433,0
the water of kane ,"Bushnell, O. A.",Bushnell,The water of Kane,"Bushnell, O. A.",Bushnell,wailuku,160,US,"Wailuku, HI, USA",United States,Hawaii,Wailuku,20.89111,-156.5047,0
"the collected short works, 1907-1919 ","Aldrich, Bess Streeter",Aldrich,"The collected short works, 1907-1919","Aldrich, Bess Streeter",Aldrich,new york,20,US,"New York, NY, USA",United States,New York,New York,40.71278,-74.00594,0
the best short stories of theodore dreiser ,"Dreiser, Theodore",Dreiser,The best short stories of Theodore Dreiser,"Dreiser, Theodore",Dreiser,broadway,16,US,"Broadway, New York, NY, USA",United States,New York,New York,40.7045116,-74.0142757,0
"because it is bitter, and because it is my heart ","Oates, Joyce Carol",Oates,"Because it is bitter, and because it is my heart","Oates, Joyce Carol",Oates,persia,557,US,Iran,Iran,,,32.42791,53.68805,0
morning at jalna.,"De la Roche, Mazo",De la Roche,Morning at Jalna,"De la Roche, Mazo",De la Roche,canada,31,US,Canada,Canada,,,56.130366,-106.346771,0
the long valley ,"Steinbeck, John",Steinbeck,The long valley,"Steinbeck, John",Steinbeck,loma,12,US,"Loma Mountains, Sierra Leone",Sierra Leone,Northern Province,,9.1666667,-11.1166667,0
skipping christmas ,"Grisham, John",Grisham,Skipping Christmas,"Grisham, John",Grisham,peru,12,US,Peru,Peru,,,-9.189967,-75.01515,0
the family orchard : a novel ,"Eve, Nomi",Eve,The family orchard : a novel,"Eve, Nomi",Eve,jerusalem,70,US,"Jerusalem, Israel",Israel,Jerusalem District,Jerusalem,31.76832,35.21371,0
monumental propaganda ,"Voĭnovich, Vladimir",Voĭnovich,Monumental propaganda,"Voĭnovich, Vladimir",Voĭnovich,moscow,69,US,"Moscow, Russia",Russia,Moscow,Moscow,55.75583,37.6173,0
beetle ,"Marsh, Richard",Marsh,The beetle,"Marsh, Richard",Marsh,london,78,US,"London, UK",United Kingdom,England,London,51.50735,-0.1277583,0
mantissa ,"Fowles, John",Fowles,Mantissa,"Fowles, John",Fowles,greece,6,GB,Greece,Greece,,,39.07421,21.82431,0
most secret ,"Shute, Nevil",Shute,Most secret,"Shute, Nevil",Shute,london,66,US,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
the daughters of cain ,"Dexter, Colin",Dexter,The daughters of Cain,"Dexter, Colin",Dexter,oxford,55,US,"University of Oxford, Oxford, Oxfordshire OX1, UK",United Kingdom,,Oxford,51.75663,-1.254704,0
between two worlds i ,"Sinclair, Upton",Sinclair,Between two worlds,"Sinclair, Upton",Sinclair,paris,192,US,"Paris, France",France,Île-de-France,Paris,48.856614,2.3522219,0
how the dead dream : a novel ,"Millet, Lydia",Millet,How the dead dream : a novel,"Millet, Lydia",Millet,los angeles,6,US,"Los Angeles, CA, USA",United States,California,Los Angeles,34.05223,-118.2437,0
balthazar ,"Durrell, Lawrence",Durrell,Balthazar,"Durrell, Lawrence",Durrell,alexandria,48,US,"Alexandria, Alexandria Governorate, Egypt",Egypt,Alexandria Governorate,Alexandria,31.2000924,29.9187387,0
miss lonelyhearts ,"West, Nathanael",West,Miss Lonelyhearts / Nathanael West,"West, Nathanael",West,connecticut,3,US,"Connecticut, USA",United States,Connecticut,,41.6032207,-73.087749,0
a life ,"Morris, Wright",Morris,A life,"Morris, Wright",Morris,california,10,US,"California, USA",United States,California,,36.778261,-119.4179324,0
little constructions : a novel ,"Burns, Anna",Burns,Little constructions,"Burns, Anna",Burns,hollywood,4,GB,"Hollywood, Los Angeles, CA, USA",United States,California,Los Angeles,34.09281,-118.3287,0
welcome to the monkey house ,"Vonnegut, Kurt",Vonnegut,Welcome to the monkey house a collection of short works,"Vonnegut, Kurt",Vonnegut,hyannis port,10,US,"Hyannis Port, Barnstable, MA, USA",United States,Massachusetts,Barnstable,41.6321044,-70.302933,0
feather woman of the jungle.,"Tutuola, Amos",Tutuola,Feather woman of the jungle,"Tutuola, Amos",Tutuola,abeokuta,4,GB,"Abeokuta, Nigeria",Nigeria,Ogun State,Abeokuta,7.1453088,3.3590446,0
the beach street knitting society and yarn club ,"McNeil, Gil",McNeil,The Beach Street Knitting Society and Yarn Club,"McNeil, Gil",McNeil,venice,30,US,"Venice, Italy",Italy,Veneto,Venice,45.44085,12.31552,0
back street ,"Hurst, Fannie",Hurst,Back street,"Hurst, Fannie",Hurst,cincinnati,70,US,"Cincinnati, OH, USA",United States,Ohio,Cincinnati,39.1031182,-84.5120196,0
the house of the spirits ,"Allende, Isabel",Allende,The house of the spirits,"Allende, Isabel",Allende,blanca,52,US,"Blanca, 261 Moore St, Brooklyn, NY 11206, USA",United States,New York,,40.70503,-73.93356,0
say you love me ,"Lindsey, Johanna",Lindsey,Say you love me,"Lindsey, Johanna",Lindsey,london,51,US,"London, UK",United Kingdom,England,London,51.50735,-0.1277583,0
clear light of day ,"Desai, Anita",Desai,Clear light of day,"Desai, Anita",Desai,hyderabad,19,US,"Hyderabad, Telangana, India",India,Telangana,Hyderabad,17.38504,78.48667,0
anthem ,"Rand, Ayn",Rand,Anthem,"Rand, Ayn",Rand,idaho,2,US,"Idaho, USA",United States,Idaho,,44.0682019,-114.7420408,0
the long knives are crying : a novel ,"Marshall, Joseph",Marshall,The long knives are crying : a novel,"Marshall, Joseph",Marshall,cheyenne,106,US,"Cheyenne, WY, USA",United States,Wyoming,Cheyenne,41.13998,-104.8202,0
christmas at fontaine's ,"Kotzwinkle, William",Kotzwinkle,Christmas at Fontaine's : a novel,"Kotzwinkle, William",Kotzwinkle,toyland,9,US,"Toyland, 321 Nashua St # H, Milford, NH 03055, USA",United States,New Hampshire,Milford,42.83218,-71.64356,0
at the villa of reduced circumstances ,"McCall Smith, Alexander",McCall Smith,At the villa of reduced circumstances,"McCall Smith, Alexander",McCall Smith,cambridge,28,US,"University of Cambridge, The Old Schools, Trinity Ln, Cambridge, Cambridgeshire CB2 1TN, UK",United Kingdom,,Cambridge,52.20427,0.1149085,0
cruddy : an illustrated novel ,"Barry, Lynda",Barry,Cruddy : an illustrated novel,"Barry, Lynda",Barry,dentsville,9,US,"Dentsville, SC, USA",United States,South Carolina,Dentsville,34.06404,-80.95815,0
world war z : [an oral history of the zombie war] ,"Brooks, Max",Brooks,World War Z : an oral history of the zombie war,"Brooks, Max",Brooks,japan,30,US,Japan,Japan,,,36.20482,138.2529,0
the towers of silence ,"Scott, Paul",Scott,The towers of silence a novel. -,"Scott, Paul",Scott,india,106,US,India,India,,,20.593684,78.96288,0
the conscience of the rich.,"Snow, C. P.",Snow,The conscience of the rich,"Snow, C. P.",Snow,bryanston square,55,US,"Bryanston Square, Marylebone, London W1H, UK",United Kingdom,England,London,51.51769,-0.1610229,0
the voice at the back door.,"Spencer, Elizabeth",Spencer,The voice at the back door,"Spencer, Elizabeth",Spencer,new orleans,27,US,"New Orleans, LA, USA",United States,Louisiana,New Orleans,29.9510658,-90.0715323,0
little fadette ,"Sand, George",Sand,Fadette (La petite Fadette),"Sand, George",Sand,arton,2,US,"ARTon Products, 43 Lively Oaks Rd, Lively, VA 22507, USA",United States,Virginia,Lively,37.7743918,-76.5125881,0
the outlander : a novel ,"Adamson, Gil",Adamson,The outlander,"Adamson, Gil",Adamson,canada,5,US,Canada,Canada,,,56.13037,-106.3468,0
make room! make room! ,"Harrison, Harry",Harrison,Make room! Make room!,"Harrison, Harry",Harrison,new york,26,US,"New York, NY, USA",United States,New York,New York,40.7127837,-74.0059413,0
trent's trust ; the crusade of the excelsior ,"Harte, Bret",Harte,Trent's trust  The crusade of the excelsior,"Harte, Bret",Harte,san francisco,44,,"San Francisco, CA, USA",United States,California,San Francisco,37.7749295,-122.4194155,0
the catherine wheel ,"Stafford, Jean",Stafford,The Catherine wheel : a novel,"Stafford, Jean",Stafford,hawthorne,15,US,"Hawthorne, CA, USA",United States,California,Hawthorne,33.9164032,-118.3525748,0
astonishing splashes of colour ,"Morrall, Clare",Morrall,Astonishing splashes of colour,"Morrall, Clare",Morrall,birmingham,22,GB,"Birmingham, West Midlands, UK",United Kingdom,England,Birmingham,52.48624,-1.890401,0
lighthouse.,"Price, Eugenia",Price,Lighthouse :  a novel,"Price, Eugenia",Price,savannah,124,US,"Savannah, GA, USA",United States,Georgia,Savannah,32.0835407,-81.0998342,0
"not for publication, and other stories.","Gordimer, Nadine",Gordimer,"Not for publication, and other stories","Gordimer, Nadine",Gordimer,johannesburg,34,US,"Johannesburg, South Africa",South Africa,Gauteng,Johannesburg,-26.2041028,28.0473051,0
"the flint anchor, a novel.","Warner, Sylvia Townsend",Warner,"The flint anchor, a novel","Warner, Sylvia Townsend",Warner,loseby,114,US,"Loseby Hotel Danang, 86 Loseby, Phước Mỹ, Sơn Trà, Đà Nẵng, Vietnam",Vietnam,Đà Nẵng,Sơn Trà,16.0736284,108.2426681,0
animal crackers ,"Tinti, Hannah",Tinti,Animal crackers,"Tinti, Hannah",Tinti,africa,4,US,Africa,,,,-8.783195,34.50852,0
whose body? : a lord peter wimsey mystery ,"Sayers, Dorothy L.",Sayers,Whose body? A Lord Peter Wimsey novel,"Sayers, Dorothy L.",Sayers,denver,21,,"Denver, CO, USA",United States,Colorado,Denver,39.7392358,-104.990251,0
ulysses. [volume ii] ,"Joyce, James",Joyce,Ulysses,"Joyce, James",Joyce,dublin,104,GB,"Dublin, Ireland",Ireland,Dublin,Dublin,53.3498053,-6.2603097,0
the violent bear it away ,"O'Connor, Flannery",O'Connor,The violent bear it away,"O'Connor, Flannery",O'Connor,china,2,US,China,China,,,35.86166,104.1954,0
the girl next door ,"Ketchum, Jack",Ketchum,The girl next door,"Ketchum, Jack",Ketchum,tareyton,5,US,"Tareyton Apartments, 100 Barclay Ct, Langhorne, PA 19047, USA",United States,Pennsylvania,Langhorne,40.1818,-74.9109,0
master and commander ,"O'Brian, Patrick",O'Brian,Master and commander  Post captain  H.M.S. Surprise  The Mauritius command  books,"O'Brian, Patrick",O'Brian,norfolk,79,US,"Norfolk, VA, USA",United States,Virginia,Norfolk,36.85077,-76.28587,0
no graves as yet ,"Perry, Anne",Perry,No graves as yet : a novel of World War I,"Perry, Anne",Perry,perth,155,US,"Perth WA, Australia",Australia,Western Australia,,-31.95351,115.857,0
willful creatures : stories ,"Bender, Aimee",Bender,Willful creatures : stories,"Bender, Aimee",Bender,paris,5,US,"Paris, France",France,Île-de-France,Paris,48.85661,2.352222,0
the crystal cave ,"Stewart, Mary",Stewart,The crystal cave,"Stewart, Mary",Stewart,britain,77,US,"Great Britain, United Kingdom",United Kingdom,,,53.7190281,-2.0727839,0
blood on the moon ,"Ellroy, James",Ellroy,Blood on the moon,"Ellroy, James",Ellroy,l a ,20,US,"Los Angeles, CA, USA",United States,California,Los Angeles,34.05223,-118.2437,0
burning patience ,"Skármeta, Antonio",Skármeta,Burning patience,"Skármeta, Antonio",Skármeta,isla negra,16,US,"Isla Negra, El Quisco, Valparaiso Region, Chile",Chile,Valparaiso Region,Isla Negra,-33.44218,-71.68297,0
playing for pizza : a novel ,"Grisham, John",Grisham,Playing for pizza,"Grisham, John",Grisham,italy,70,US,Italy,Italy,,,41.87194,12.56738,0
rifling paradise ,"Poster, Jem",Poster,Rifling paradise,"Poster, Jem",Poster,england,14,US,"England, UK",United Kingdom,England,,52.35552,-1.17432,0
bridge of sighs ,"Russo, Richard",Russo,Bridge of sighs,"Russo, Richard",Russo,thomaston,153,US,"Thomaston, CT, USA",United States,Connecticut,Thomaston,41.67433,-73.0724,0
heavy weather ,"Wodehouse, P. G.",Wodehouse,Heavy weather,"Wodehouse, P. G.",Wodehouse,london,38,,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
the rules of attraction ,"Ellis, Bret Easton",Ellis,The rules of attraction,"Ellis, Bret Easton",Ellis,camden,34,US,"Camden, NJ, USA",United States,New Jersey,Camden,39.92595,-75.11962,0
the salt eaters ,"Bambara, Toni Cade",Bambara,The salt eaters,"Bambara, Toni Cade",Bambara,palma,15,US,"Palma, Balearic Islands, Spain",Spain,Balearic Islands,Palma,39.5696,2.65016,0
when in rome ,"Marsh, Ngaio",Marsh,When in Rome,"Marsh, Ngaio",Marsh,rome,82,US,"Rome, Italy",Italy,Lazio,Rome,41.9027835,12.4963655,0
black money ,"Macdonald, Ross",Macdonald,Black money,"Macdonald, Ross",Macdonald,france,19,US,France,France,,,46.227638,2.213749,0
a fable ,"Faulkner, William",Faulkner,A fable,"Faulkner, William",Faulkner,france,95,US,France,France,,,46.227638,2.213749,0
the rest of life : three novellas ,"Gordon, Mary",Gordon,The rest of life : three novellas,"Gordon, Mary",Gordon,america,24,US,United States,United States,,,37.09024,-95.71289,0
"the lost city, a novel.","Gunther, John",Gunther,"The lost city, a novel","Gunther, John",Gunther,vienna,345,US,"Vienna, Austria",Austria,Vienna,Vienna,48.2081743,16.3738189,0
"the lake, the river & the other lake ","Amick, Steve",Amick,"The lake, the river & the other lake","Amick, Steve",Amick,michigan,53,US,"Michigan, USA",United States,Michigan,,44.31484,-85.60236,0
the voyage of captain bart.,"Erskine, John",Erskine,The voyage of Captain Bart,"Erskine, John",Erskine,cartagena,93,,"Cartagena, Cartagena, Bolívar, Colombia",Colombia,Bolívar,Cartagena,10.3910485,-75.4794257,0
the wall ,"Haushofer, Marlen",Haushofer,The wall,"Haushofer, Marlen",Haushofer,pittsburgh,3,US,"Pittsburgh, PA, USA",United States,Pennsylvania,Pittsburgh,40.44062,-79.99589,0
her smoke rose up forever ,"Tiptree, James",Tiptree,"Her smoke rose up forever : the great years of James Tiptree, Jr","Tiptree, James",Tiptree,calgary,98,US,"Calgary, AB, Canada",Canada,Alberta,Calgary,51.04862,-114.0708,0
john thomas and lady jane.,"Lawrence, D. H.",Lawrence,John Thomas and Lady Jane,"Lawrence, D. H.",Lawrence,wragby,46,US,"Wragby, Market Rasen, Lincolnshire LN8, UK",United Kingdom,England,Wragby,53.286333,-0.30016,0
when the emperor was divine ,"Otsuka, Julie",Otsuka,When the emperor was divine : a novel,"Otsuka, Julie",Otsuka,lordsburg,11,US,"Lordsburg, NM 88045, USA",United States,New Mexico,Lordsburg,32.35036,-108.7087,0
impressions of africa ,"Roussel, Raymond",Roussel,Impressions of Africa,"Roussel, Raymond",Roussel,marseilles,12,GB,"Marseille, France",France,Provence-Alpes-Côte d'Azur,Marseille,43.29648,5.36978,0
the green man ,"Amis, Kingsley",Amis,The Green Man,"Amis, Kingsley",Amis,cambridge,21,GB,"University of Cambridge, The Old Schools, Trinity Ln, Cambridge, Cambridgeshire CB2 1TN, UK",United Kingdom,,Cambridge,52.2042666,0.1149085,0
the pawnbroker : a novel ,"Wallant, Edward Lewis",Wallant,The pawnbroker,"Wallant, Edward Lewis",Wallant,l a ,6,US,"Los Angeles, CA, USA",United States,California,Los Angeles,34.0522342,-118.2436849,0
the golden apples ,"Welty, Eudora",Welty,The golden apples,"Welty, Eudora",Welty,morgana,26,US,"Morgan, UT 84050, USA",United States,Utah,Morgan,41.036056,-111.6768769,0
light in august : the corrected text ,"Faulkner, William",Faulkner,Light in August : the corrected text,"Faulkner, William",Faulkner,memphis,42,US,"Memphis, TN, USA",United States,Tennessee,Memphis,35.14953,-90.04898,0
the rose garden : short stories ,"Brennan, Maeve",Brennan,The rose garden : short stories,"Brennan, Maeve",Brennan,new york,24,US,"New York, NY, USA",United States,New York,New York,40.71278,-74.00594,0
parnassus on wheels.,"Morley, Christopher",Morley,Parnassus on wheels,"Morley, Christopher",Morley,brooklyn,31,US,"Brooklyn, NY, USA",United States,New York,New York,40.6781784,-73.9441579,0
corelli's mandolin ,"De Bernières, Louis",De Bernières,Corelli's mandolin,"De Bernières, Louis",De Bernières,greece,100,US,Greece,Greece,,,39.07421,21.82431,0
the old maid. the cabinet of antiquities.,"Balzac, Honoré de",Balzac,The old maid,"Balzac, Honoré de",Balzac,paris,107,,"Paris, France",France,Île-de-France,Paris,48.856614,2.3522219,0
breakfast at tiffany's and three stories ,"Capote, Truman",Capote,Breakfast at Tiffany's a short novel and three stories,"Capote, Truman",Capote,new york,11,US,"New York, NY, USA",United States,New York,New York,40.7127837,-74.0059413,0
"the flower that grew in the sand, and other stories ","Higginson, Ella",Higginson,"The flower that grew in the sand, and other stories","Higginson, Ella",Higginson,new york,4,US,"New York, NY, USA",United States,New York,New York,40.7127837,-74.0059413,0
the ministry of special cases ,"Englander, Nathan",Englander,The Ministry of Special Cases,"Englander, Nathan",Englander,poznan,44,US,"Poznań, Poland",Poland,Greater Poland Voivodeship,Poznań,52.40637,16.92517,0
the forest house ,"Bradley, Marion Zimmer",Bradley,The forest house,"Bradley, Marion Zimmer",Bradley,rome,133,US,"Rome, Italy",Italy,Lazio,Rome,41.90278,12.49637,0
one man and his bomb ,"Keating, H. R. F.",Keating,One man and his bomb,"Keating, H. R. F.",Keating,london,29,GB,"London, UK",United Kingdom,England,London,51.50735,-0.1277583,0
the defection of a.j. lewinter : a novel of duplicity ,"Littell, Robert",Littell,The defection of A. J. Lewinter,"Littell, Robert",Littell,moscow,56,,"Moscow, Russia",Russia,Moscow,Moscow,55.75583,37.6173,0
"in a hollow of the hills,","Harte, Bret",Harte,In a hollow of the hills,"Harte, Bret",Harte,sierras,7,US,"Sierra Nevada, California, USA",United States,California,,36.5785582,-118.295291,0
after the banquet ,"Mishima, Yukio",Mishima,After the banquet,"Mishima, Yukio",Mishima,tokyo,19,US,"Tokyo, Japan",Japan,Tokyo,,35.6894875,139.6917064,0
"the novels : not without laughter, and, tambourines to glory ","Hughes, Langston",Hughes,"The novels : Not without laughter, and, Tambourines to glory","Hughes, Langston",Hughes,harlem,48,US,"Harlem, New York, NY, USA",United States,New York,New York,40.81155,-73.94648,0
no man's land : a novel ,"Dương, Thu Hương",Dương,No man's land : a novel,"Dương, Thu Hương",Dương,bon,14,US,"Texas Board of Nursing, 333 Guadalupe St # 3-460, Austin, TX 78701, USA",United States,Texas,Austin,30.26649,-97.7466,0
mean spirit ,"Hogan, Linda",Hogan,Mean spirit,"Hogan, Linda",Hogan,china,38,US,China,China,,,35.86166,104.1954,0
the double bind : a novel ,"Bohjalian, Chris",Bohjalian,The double bind : a novel,"Bohjalian, Chris",Bohjalian,vermont,67,US,"Vermont, USA",United States,Vermont,,44.5588,-72.57784,0
the dead letter : an american romance ,"Victor, Metta Victoria Fuller",Victor,The dead letter : an American romance,"Victor, Metta Victoria Fuller",Victor,new york,43,US,"New York, NY, USA",United States,New York,New York,40.7127837,-74.0059413,0
there was an old woman ,"Queen, Ellery",Queen,There was an old woman : a novel,"Queen, Ellery",Queen,new york,7,US,"New York, NY, USA",United States,New York,New York,40.7127837,-74.0059413,0
story of the eye ,"Bataille, Georges",Bataille,Story of the eye,"Bataille, Georges",Bataille,seville,7,US,"Seville, Sevilla, Spain",Spain,Andalusia,Seville,37.38909,-5.984459,0
the mists of avalon ,"Bradley, Marion Zimmer",Bradley,The mists of Avalon,"Bradley, Marion Zimmer",Bradley,britain,205,US,"Great Britain, United Kingdom",United Kingdom,,,53.71903,-2.072784,0
"the man of property, and indian summer of a forsyte.","Galsworthy, John",Galsworthy,The man of property : and Indian summer of a Forsyte,"Galsworthy, John",Galsworthy,london,53,US,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
the third policeman ,"O'Brien, Flann",O'Brien,The Third policeman,"O'Brien, Flann",O'Brien,hamburg,8,GB,"Hamburg, Germany",Germany,Hamburg,Hamburg,53.5510846,9.9936818,0
the last war : a world set free ,"Wells, H. G.",Wells,The last war : a world set free,"Wells, H. G.",Wells,london,32,US,"London, UK",United Kingdom,England,London,51.50735,-0.1277583,0
the 42nd parallel ,"Dos Passos, John",Dos Passos,The 42nd parallel,"Dos Passos, John",Dos Passos,chicago,58,US,"Chicago, IL, USA",United States,Illinois,Chicago,41.8781136,-87.6297982,0
cannery row ,"Steinbeck, John",Steinbeck,Cannery row,"Steinbeck, John",Steinbeck,monterey,17,US,"Monterey, CA, USA",United States,California,Monterey,36.6002378,-121.8946761,0
songs in ordinary time ,"Morris, Mary McGarry",Morris,Songs in ordinary time,"Morris, Mary McGarry",Morris,litchfield,19,US,"Litchfield Beach and Golf Resort, 14276 Ocean Hwy, Pawleys Island, SC 29585, USA",United States,South Carolina,Pawleys Island,33.48403,-79.09551,0
"the loving cup : a novel of cornwall, 1813-1815 ","Graham, Winston",Graham,"The loving cup : a novel of Cornwall, 1813-1815","Graham, Winston",Graham,london,52,GB,"London, UK",United Kingdom,England,London,51.50735,-0.1277583,0
the guy not taken : stories ,"Weiner, Jennifer",Weiner,The guy not taken : stories,"Weiner, Jennifer",Weiner,new york,15,US,"New York, NY, USA",United States,New York,New York,40.71278,-74.00594,0
the sabotage café ,"Furst, Joshua",Furst,The sabotage café,"Furst, Joshua",Furst,plymouth,10,US,"Plymouth State University, 17 High St, Plymouth, NH 03264, USA",United States,New Hampshire,Plymouth,43.75935,-71.68874,0
ports of call ,"Maalouf, Amin",Maalouf,Ports of call,"Maalouf, Amin",Maalouf,beirut,26,GB,"Beirut, Lebanon",Lebanon,Beirut,Beirut,33.88863,35.49548,0
eva's man ,"Jones, Gayl",Jones,Eva's man,"Jones, Gayl",Jones,new york,6,US,"New York, NY, USA",United States,New York,New York,40.71278,-74.00594,0
ehrengard ,"Dinesen, Isak",Dinesen,Ehrengard,"Dinesen, Isak",Dinesen,babenhausen,26,US,"Babenhausen, Germany",Germany,Hesse,Babenhausen,49.9593613,8.9588974,0
nocturnes for the king of naples ,"White, Edmund",White,Nocturnes for the King of Naples,"White, Edmund",White,spain,4,US,Spain,Spain,,,40.46367,-3.74922,0
david copperfield ,"Dickens, Charles",Dickens,David Copperfield,"Dickens, Charles",Dickens,london,117,US,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
mila 18 ,"Uris, Leon",Uris,Mila 18,"Uris, Leon",Uris,warsaw,241,US,"Warsaw, Poland",Poland,Masovian Voivodeship,Warsaw,52.2296756,21.0122287,0
