title.x,author.x,author_last.x,title.y,author.y,author_last.y,text_string,occurs,publication_country,formatted_address,country_long,admin_1_long,locality,lat,lon,dist
when the fire reaches us.,"Tinker, Barbara Wilson",Tinker,When the fire reaches us,"Tinker, Barbara Wilson",Tinker,detroit,20,US,"Detroit, MI, USA",United States,Michigan,Detroit,42.331427,-83.0457538,0
the king in yellow ,"Chambers, Robert W.",Chambers,The king in yellow,"Chambers, Robert W.",Chambers,paris,27,US,"Paris, France",France,Île-de-France,Paris,48.856614,2.3522219,0
selected stories of sylvia townsend warner.,"Warner, Sylvia Townsend",Warner,Selected stories of Sylvia Townsend Warner,"Warner, Sylvia Townsend",Warner,london,57,GB,"London, UK",United Kingdom,England,London,51.50735,-0.1277583,0
fever : twelve stories ,"Wideman, John Edgar",Wideman,Fever : twelve stories,"Wideman, John Edgar",Wideman,orland,6,US,"Orland, CA 95963, USA",United States,California,Orland,39.74738,-122.1964,0
have his carcase : a lord peter wimsey mystery with harriet vane ,"Sayers, Dorothy L.",Sayers,Have his carcase,"Sayers, Dorothy L.",Sayers,london,30,US,"London, UK",United Kingdom,England,London,51.50735,-0.1277583,0
the story of the stone; a chinese novel in five volumes ,"Cao, Xueqin",Cao,The story of the stone a Chinese novel in five volumes,"Cao, Xueqin",Cao,garden,177,GB,"GARDEN BAR, 133 Union St, New Bedford, MA 02740, USA",United States,Massachusetts,New Bedford,41.6345848,-70.9247256,0
the complete fiction of nella larsen ,"Larsen, Nella",Larsen,The complete fiction of Nella Larsen,"Larsen, Nella",Larsen,new york,43,US,"New York, NY, USA",United States,New York,New York,40.71278,-74.00594,0
a fatal waltz : [a novel of suspense] ,"Alexander, Tasha",Alexander,A fatal waltz,"Alexander, Tasha",Alexander,vienna,93,US,"Vienna, Austria",Austria,Vienna,Vienna,48.20817,16.37382,0
the curious case of benjamin button ,"Fitzgerald, F. Scott",Fitzgerald,The curious case of Benjamin Button : and six other stories,"Fitzgerald, F. Scott",Fitzgerald,new york,27,GB,"New York, NY, USA",United States,New York,New York,40.71278,-74.00594,0
voices from the moon ,"Dubus, Andre",Dubus,Voices from the moon,"Dubus, Andre",Dubus,boston,7,US,"Boston, MA, USA",United States,Massachusetts,Boston,42.36008,-71.05888,0
the keeper of the isis light ,"Hughes, Monica",Hughes,The keeper of the Isis light,"Hughes, Monica",Hughes,olwen,33,US,"University of Chicago Med Center: Hahn Olwen M MD, 5841 S Maryland Ave, Chicago, IL 60637, USA",United States,Illinois,Chicago,41.78831,-87.60466,0
night and day ,"Woolf, Virginia",Woolf,Night and day,"Woolf, Virginia",Woolf,london,50,GB,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
the dig ,"Preston, John",Preston,The dig,"Preston, John",Preston,london,14,GB,"London, UK",United Kingdom,England,London,51.50735,-0.1277583,0
the complete tales of washington irving ,"Irving, Washington",Irving,The complete tales of Washington Irving,"Irving, Washington",Irving,alhambra,124,US,"Alhambra, CA, USA",United States,California,Alhambra,34.09529,-118.127,0
unlocking the air : stories ,"Le Guin, Ursula K.",Le Guin,Unlocking the air and other stories,"Le Guin, Ursula K",Le Guin,delaware,57,US,"Delaware, USA",United States,Delaware,,38.91083,-75.52767,1
the plague dogs ,"Adams, Richard",Adams,The plague dogs,"Adams, Richard",Adams,snitter,37,US,"Snitter, Morpeth, Northumberland NE65, UK",United Kingdom,England,Snitter,55.32433,-1.958531,0
the kindly ones.,"Powell, Anthony",Powell,The kindly ones,"Powell, Anthony",Powell,stonehurst,54,US,"Stonehurst the Robert Treat Paine Estate, 100 Robert Treat Paine Dr, Waltham, MA 02452, USA",United States,Massachusetts,Waltham,42.3880869,-71.2305792,0
the horse and his boy ,"Lewis, C. S.",Lewis,The horse and his boy,"Lewis, C. S.",Lewis,narnia,35,,"Narnia, 672 Driggs Ave, Brooklyn, NY 11211, USA",United States,New York,,40.7144279,-73.9594438,0
jonah's gourd vine : a novel ,"Hurston, Zora Neale",Hurston,Jonah's gourd vine,"Hurston, Zora Neale",Hurston,notasulga,8,US,"Notasulga, AL, USA",United States,Alabama,Notasulga,32.5606908,-85.6724538,0
great son ,"Ferber, Edna",Ferber,Great son,"Ferber, Edna",Ferber,seattle,132,US,"Seattle, WA, USA",United States,Washington,Seattle,47.6062095,-122.3320708,0
the sound of one hand clapping ,"Flanagan, Richard",Flanagan,The sound of one hand clapping,"Flanagan, Richard",Flanagan,hobart,30,AU,"Hobart TAS, Australia",Australia,Tasmania,Hobart,-42.8819,147.3238,0
the natives of hemsö. ,"Strindberg, August",Strindberg,The natives of Hemsö,"Strindberg, August",Strindberg,strindberg,65,US,"Strindberg & Scholnick LLC, 675 E 2100 S #350, Salt Lake City, UT 84106, USA",United States,Utah,Salt Lake City,40.7259786,-111.8723823,0
"the shipwrecked, a novel.","Greene, Graham",Greene,The shipwrecked a novel,"Greene, Graham",Greene,stockholm,29,,"Stockholm, Sweden",Sweden,Stockholm County,Stockholm,59.3293235,18.0685808,0
the short reign of pippin iv : a fabrication ,"Steinbeck, John",Steinbeck,The short reign of Pippin IV a fabrication,"Steinbeck, John",Steinbeck,france,97,US,France,France,,,46.227638,2.213749,0
reinhart in love.,"Berger, Thomas",Berger,Reinhart in love,"Berger, Thomas",Berger,germany,14,US,Germany,Germany,,,51.165691,10.451526,0
our story begins : new and selected stories ,"Wolff, Tobias",Wolff,Our story begins : new and selected stories,"Wolff, Tobias",Wolff,crosley,15,US,"Crosley Corporation, 111 Cloverleaf Dr # 200, Winston-Salem, NC 27103, USA",United States,North Carolina,Winston-Salem,36.04892,-80.32077,0
this side of the sky : a novel ,"Singleton, Elyse",Singleton,This side of the sky : a novel,"Singleton, Elyse",Singleton,philadelphia,35,US,"Philadelphia, PA, USA",United States,Pennsylvania,Philadelphia,39.95258,-75.16522,0
buttered side down ,"Ferber, Edna",Ferber,Buttered side down,"Ferber, Edna",Ferber,new york,20,US,"New York, NY, USA",United States,New York,New York,40.7127837,-74.0059413,0
a view of the harbour ,"Taylor, Elizabeth",Taylor,A view of the harbour,"Taylor, Elizabeth",Taylor,london,39,US,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
a certain age : a novel ,"Janowitz, Tama",Janowitz,A certain age : a novel,"Janowitz, Tama",Janowitz,new york,47,US,"New York, NY, USA",United States,New York,New York,40.71278,-74.00594,0
when greek meets greek. ,"Demetrios, George",Demetrios,When Greek meets Greek,"Demetrios, George",Demetrios,america,27,US,United States,United States,,,37.09024,-95.712891,0
the bridge of san luis rey ,"Wilder, Thornton",Wilder,The bridge of San Luis Rey,"Wilder, Thornton",Wilder,lima,37,US,"Lima, Peru",Peru,Lima,Lima,-12.046374,-77.0427934,0
the sound and the fury ,"Faulkner, William",Faulkner,The sound and the fury,"Faulkner, William",Faulkner,boston,7,GB,"Boston, MA, USA",United States,Massachusetts,Boston,42.3600825,-71.0588801,0
the bonesetter's daughter ,"Tan, Amy",Tan,The bonesetter's daughter,"Tan, Amy",Tan,luling,180,US,"Luling, TX 78648, USA",United States,Texas,Luling,29.68051,-97.6475,0
the village ,"Bunin, Ivan Alekseevich",Bunin,The village,"Bunin, Ivan Alekseevich",Bunin,russia,25,US,Russia,Russia,,,61.52401,105.318756,0
chancy ,"L'Amour, Louis",L'Amour,Chancy,"L'Amour, Louis",L'Amour,abilene,24,,"Abilene, TX, USA",United States,Texas,Abilene,32.4487364,-99.7331439,0
anthropology of an american girl : a novel ,"Hamann, H. T.",Hamann,Anthropology of an American girl : a novel,"Hamann, H. T.",Hamann,jersey,29,US,"New Jersey, USA",United States,New Jersey,,40.05832,-74.40566,0
the citadel of the lakes.,"Orr, Myron David",Orr,The citadel of the Lakes,"Orr, Myron David",Orr,michilimackinac,54,US,"Colonial Michilimackinac Park, 102 W Straits Ave, Mackinaw City, MI 49701, USA",United States,Michigan,Mackinaw City,45.7866756,-84.7336563,0
billy bathgate : a novel ,"Doctorow, E. L.",Doctorow,Billy Bathgate : a novel,"Doctorow, E. L",Doctorow,bronx,40,US,"Bronx, NY, USA",United States,New York,New York,40.84478,-73.86483,1
the bachelors ,"Spark, Muriel",Spark,The bachelors,"Spark, Muriel",Spark,london,15,US,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
"look at all those roses, short stories by elizabeth bowen.","Bowen, Elizabeth",Bowen,"Look at all those roses, short stories","Bowen, Elizabeth",Bowen,london,32,US,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
job : the story of a simple man ,"Roth, Joseph",Roth,"Job, the story of a simple man","Roth, Joseph",Roth,america,95,US,United States,United States,,,37.09024,-95.712891,0
beware of pity ,"Zweig, Stefan",Zweig,Beware of pity,"Zweig, Stefan",Zweig,vienna,52,GB,"Vienna, Austria",Austria,Vienna,Vienna,48.2081743,16.3738189,0
elementals : stories of fire and ice ,"Byatt, A. S.",Byatt,Elementals : stories of fire and ice,"Byatt, A. S.",Byatt,cevennes,5,GB,"Cévennes, 48220 Fraissinet-de-Lozère, France",France,Languedoc-Roussillon,Fraissinet-de-Lozère,44.43172,3.702759,0
"one star general, a novel.","Morgan, Al",Morgan,"One star general, a novel","Morgan, Al",Morgan,paris,57,,"Paris, France",France,Île-de-France,Paris,48.856614,2.3522219,0
the tent : a novel ,"Ṭaḥāwī, Mīrāl",Ṭaḥāwī,The Tent : a novel,"Ṭaḥāwī, Mīrāl",Ṭaḥāwī,egypt,6,EG,Egypt,Egypt,,,26.82055,30.8025,0
gone too far ,"Brockmann, Suzanne",Brockmann,Gone too far,"Brockmann, Suzanne",Brockmann,sarasota,85,US,"Sarasota, FL, USA",United States,Florida,Sarasota,27.33643,-82.53065,0
wessex tales ...,"Hardy, Thomas",Hardy,Wessex tales,"Hardy, Thomas",Hardy,casterbridge,13,US,"Casterbridge Tours, 32 N Augusta St, Staunton, VA 24401, USA",United States,Virginia,Staunton,38.1501855,-79.0729549,0
a story like the wind.,"Van der Post, Laurens",Van der Post,A story like the wind,"Van der Post, Laurons",Van der Post,africa,133,GB,Africa,,,,-8.783195,34.508523,1
the balloon man.,"Armstrong, Charlotte",Armstrong,The balloon man,"Armstrong, Charlotte",Armstrong,new york,13,US,"New York, NY, USA",United States,New York,New York,40.7127837,-74.0059413,0
the valley of the moon ,"London, Jack",London,The valley of the moon,"London, Jack",London,oakland,59,US,"Oakland, CA, USA",United States,California,Oakland,37.8043637,-122.2711137,0
changes : a love story ,"Aidoo, Ama Ata",Aidoo,Changes : a love story,"Aidoo, Ama Ata",Aidoo,accra,29,GB,"Accra, Ghana",Ghana,Greater Accra,Accra,5.603717,-0.1869644,0
the man who was magic; a fable of innocence.,"Gallico, Paul",Gallico,The man who was magic: a fable of innocence,"Gallico, Paul",Gallico,guild,4,US,"Guild, 110 8th St, Brooklyn, NY 11215, USA",United States,New York,,40.672811,-73.992562,0
villa incognito ,"Robbins, Tom",Robbins,Villa incognito,"Robbins, Tom",Robbins,laos,37,US,Laos,Laos,,,19.85627,102.4955,0
one good turn : a novel ,"Atkinson, Kate",Atkinson,One good turn : a jolly murder mystery,"Atkinson, Kate",Atkinson,edinburgh,57,GB,"Edinburgh, Edinburgh, UK",United Kingdom,Scotland,Edinburgh,55.95325,-3.188267,0
killing time : a novel of the future ,"Carr, Caleb",Carr,Killing time : a novel of the future,"Carr, Caleb",Carr,united states,26,US,United States,United States,,,37.09024,-95.71289,0
the spoilt kill ,"Kelly, Mary",Kelly,The spoilt kill,"Kelly, Mary",Kelly,sheffield,13,GB,"Sheffield, South Yorkshire, UK",United Kingdom,England,Sheffield,53.381129,-1.470085,0
hotel savoy ,"Roth, Joseph",Roth,Hotel Savoy,"Roth, Joseph",Roth,america,23,US,United States,United States,,,37.09024,-95.71289,0
santa cruise : a holiday mystery at sea ,"Clark, Mary Higgins",Clark,Santa cruise : a holiday mystery at sea,"Clark, Mary Higgins",Clark,highbridge,76,US,"Highbridge, Somerset, UK",United Kingdom,England,Highbridge,51.22498,-2.978032,0
the old curiosity shop ,"Dickens, Charles",Dickens,The old curiosity shop,"Dickens, Charles",Dickens,leicester,144,US,"Leicester, UK",United Kingdom,England,Leicester,52.6368778,-1.1397592,0
murder in the latin quarter ,"Black, Cara",Black,Murder in the Latin Quarter,"Black, Cara",Black,haiti,64,US,Haiti,Haiti,,,18.97119,-72.28522,0
einstein's monsters ,"Amis, Martin",Amis,Einstein's monsters,"Amis, Martin",Amis,london,9,US,"London, UK",United Kingdom,England,London,51.50735,-0.1277583,0
joan makes history ,"Grenville, Kate",Grenville,Joan makes history,"Grenville, Kate",Grenville,australia,9,US,Australia,Australia,,,-25.2744,133.7751,0
fire on the mountain ,"Bisson, Terry",Bisson,Fire on the mountain,"Bisson, Terry",Bisson,virginia,51,US,"Virginia, USA",United States,Virginia,,37.43157,-78.65689,0
paradise of the blind ,"Dương, Thu Hương",Dương,Paradise of the blind,"Dương, Thu Hương",Dương,vietnam,36,US,Vietnam,Vietnam,,,14.05832,108.2772,0
hard boiled wonderland and the end of the world ,"Murakami, Haruki",Murakami,Hard-boiled wonderland and the end of the world : a novel,"Murakami, Haruki",Murakami,river,18,JP,"LA River Revitalization Corporation, 570 W Ave 26 #475, Los Angeles, CA 90065, USA",United States,California,Los Angeles,34.08518,-118.2249,0
mash ,"Hooker, Richard",Hooker,MASH,"Hooker, Richard",Hooker,hawkeye,565,US,"Iowa, USA",United States,Iowa,,41.878,-93.0977,0
books do furnish a room; a novel.,"Powell, Anthony",Powell,"Books do furnish a room, a novel","Powell, Anthony",Powell,london,22,GB,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
among thieves ,"Packer, Mez",Packer,Among thieves,"Packer, Mez",Packer,spain,64,GB,Spain,Spain,,,40.46367,-3.74922,0
the hitchhiker's guide to the galaxy ,"Adams, Douglas",Adams,The hitchhiker's guide to the galaxy,"Adams, Douglas",Adams,betelgeuse,14,US,"Betelgeuse Productions Inc, 44 E 32nd St #12, New York, NY 10016, USA",United States,New York,New York,40.74582,-73.98297,0
the black robe ,"Collins, Wilkie",Collins,The black robe,"Collins, Wilkie",Collins,london,38,GB,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
delta wedding ,"Welty, Eudora",Welty,"Delta wedding, a novel","Welty, Eudora",Welty,india,240,US,India,India,,,20.593684,78.96288,0
nocturnes : five stories of music and nightfall ,"Ishiguro, Kazuo",Ishiguro,Nocturnes : five stories of music and nightfall,"Ishiguro, Kazuo",Ishiguro,london,16,GB,"London, UK",United Kingdom,England,London,51.50735,-0.1277583,0
office of innocence : a novel ,"Keneally, Thomas",Keneally,Office of innocence : a novel,"Keneally, Thomas",Keneally,australia,26,US,Australia,Australia,,,-25.2744,133.7751,0
diary : a novel ,"Palahniuk, Chuck",Palahniuk,Diary : a novel,"Palahniuk, Chuck",Palahniuk,ocean park,8,US,"Ocean Park, Ocean Park, Hong Kong",Hong Kong,Hong Kong Island,,22.24666,114.1757,0
the waste lands ,"King, Stephen",King,The waste lands,"King, Stephen",King,new york,48,US,"New York, NY, USA",United States,New York,New York,40.71278,-74.00594,0
montana 1948 : a novel ,"Watson, Larry",Watson,Montana 1948 : a novel,"Watson, Larry",Watson,montana,46,US,"Montana, USA",United States,Montana,,46.87968,-110.3626,0
echo tree : the collected short fiction of henry dumas ,"Dumas, Henry",Dumas,Echo tree : the collected short fiction of Henry Dumas,"Dumas, Henry",Dumas,harlem,54,US,"Harlem, New York, NY, USA",United States,New York,New York,40.81155,-73.94648,0
the toughest indian in the world ,"Alexie, Sherman",Alexie,The toughest Indian in the world,"Alexie, Sherman",Alexie,spokane,42,US,"Spokane, WA, USA",United States,Washington,Spokane,47.65878,-117.426,0
dreaming in cuban : a novel ,"García, Cristina",García,Dreaming in Cuban : a novel,"Garcia, Cristina",Garcia,cuba,85,US,Cuba,Cuba,,,21.52176,-77.78117,1
three novels: vainglory; inclinations; caprice. ,"Firbank, Ronald",Firbank,Three novels: Vainglory Inclinations Caprice,"Firbank, Ronald",Firbank,georgia,50,GB,"Georgia, USA",United States,Georgia,,32.1656221,-82.9000751,0
the vicar of wakefield ,"Goldsmith, Oliver",Goldsmith,The vicar of Wakefield,"Goldsmith, Oliver",Goldsmith,babylon,35,GB,"Hillah, Iraq",Iraq,Babil,Hillah,32.4773359,44.4276206,0
chicago : a novel ,"Aswānī, ʻAlāʾ",Aswānī,Chicago : a novel,"Aswānī, ʻAlāʼ",Aswānī,egypt,123,US,Egypt,Egypt,,,26.82055,30.8025,1
persuasion ,"Austen, Jane",Austen,Persuasion,"Austen, Jane",Austen,uppercross,43,GB,"Uppercross House Hotel, 26-30 Upper Rathmines Rd, Dublin 6, Ireland",Ireland,Dublin,Dublin,53.320853,-6.26519,0
practical magic ,"Hoffman, Alice",Hoffman,Practical magic,"Hoffman, Alice",Hoffman,tucson,19,US,"Tucson, AZ, USA",United States,Arizona,Tucson,32.22174,-110.9265,0
where the jackals howl and other stories ,"Oz, Amos",Oz,"Where the jackals howl, and other stories","Oz, Amos",Oz,israel,41,GB,Israel,Israel,,,31.04605,34.85161,0
that hideous strength : a modern fairy-tale for grown-ups ,"Lewis, C. S.",Lewis,"Hideous strength, a modern fairy-tale for grown-ups","Lewis, C. S.",Lewis,belbury,73,GB,"Belbury Holdings Pty Ltd, 35 Manilla St, East Brisbane QLD 4169, Australia",Australia,Queensland,East Brisbane,-27.481483,153.04241,0
the woman who walked into doors ,"Doyle, Roddy",Doyle,The woman who walked into doors,"Doyle, Roddy",Doyle,charlo,235,GB,"Charlo School District 7J, 404 1st W, Charlo, MT 59824, USA",United States,Montana,Charlo,47.43965,-114.1739,0
bodies of water : short fiction ,"Cash, Rosanne",Cash,Bodies of water : short fiction,"Cash, Rosanne",Cash,paris,5,US,"Paris, France",France,Île-de-France,Paris,48.85661,2.352222,0
on the beach ,"Shute, Nevil",Shute,On the beach,"Shute, Nevil",Shute,melbourne,33,US,"Melbourne VIC, Australia",Australia,Victoria,,-37.8136276,144.9630576,0
guilty ,"Robards, Karen",Robards,Guilty,"Robards, Karen",Robards,philly,20,US,"Philadelphia, PA, USA",United States,Pennsylvania,Philadelphia,39.95258,-75.16522,0
the rivals ,"Coppée, François",Coppée,The rivals,"Coppée, François",Coppée,paris,9,US,"Paris, France",France,Île-de-France,Paris,48.856614,2.3522219,0
the scarlet sword.,"Bates, H. E.",Bates,The scarlet sword,"Bates, H. E.",Bates,india,31,US,India,India,,,20.593684,78.96288,0
the king in the golden mask ,"Schwob, Marcel",Schwob,The king in the golden mask and other writings,"Schwob, Marcel",Schwob,paris,25,GB,"Paris, France",France,Île-de-France,Paris,48.85661,2.352222,0
"human being, a story ","Morley, Christopher",Morley,"Human being, a story","Morley, Christopher",Morley,new york,28,US,"New York, NY, USA",United States,New York,New York,40.7127837,-74.0059413,0
a kind of anger.,"Ambler, Eric",Ambler,A kind of anger,"Ambler, Eric",Ambler,arbil,65,GB,"Erbil, Iraq",Iraq,Kurdistan Region,Erbil,36.2062933,44.0088697,0
russian science fiction; an anthology. ,"Magidoff, Robert",Magidoff,"Russian science fiction, 1968 an anthology","Magidoff, Robert",Magidoff,moscow,11,US,"Moscow, Russia",Russia,Moscow,Moscow,55.755826,37.6173,0
russian science fiction; an anthology. ,"Magidoff, Robert",Magidoff,"Russian science fiction, 1969 an anthology","Magidoff, Robert",Magidoff,leningrad,7,US,"Leningrad Oblast, Russia",Russia,Leningrad Oblast,,60.0793208,31.8926644,0
if beale street could talk : a novel ,"Baldwin, James",Baldwin,If Beale Street could talk,"Baldwin, James",Baldwin,new york,14,US,"New York, NY, USA",United States,New York,New York,40.7127837,-74.0059413,0
cranford ,"Gaskell, Elizabeth Cleghorn",Gaskell,Cranford,"Gaskell, Elizabeth Cleghorn",Gaskell,cranford,164,US,"Cranford, NJ, USA",United States,New Jersey,Cranford,40.6584212,-74.2995928,0
new year's day (the 'seventies) by edith wharton ... decorations by e. c. caswell.,"Wharton, Edith",Wharton,New Year's day : the 'seventies,"Wharton, Edith",Wharton,new york,26,US,"New York, NY, USA",United States,New York,New York,40.7127837,-74.0059413,0
the hakawati ,"Alameddine, Rabih",Alameddine,The hakawati,"Alameddine, Rabih",Alameddine,beirut,99,US,"Beirut, Lebanon",Lebanon,Beirut,Beirut,33.88863,35.49548,0
rainbow cottage ,"Hill, Grace Livingston",Hill,Rainbow cottage,"Hill, Grace Livingston",Hill,boston,11,US,"Boston, MA, USA",United States,Massachusetts,Boston,42.3600825,-71.0588801,0
memories of my melancholy whores ,"García Márquez, Gabriel",García Márquez,Memories of my melancholy whores,"García Márquez, Gabriel",García Márquez,new york,4,US,"New York, NY, USA",United States,New York,New York,40.71278,-74.00594,0
a maze of death ,"Dick, Philip K.",Dick,A maze of death,"Dick, Philip K",Dick,london,7,US,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,1
the front runner ,"Warren, Patricia Nell",Warren,The front runner,"Warren, Patricia Nell",Warren,montreal,61,US,"Montreal, QC, Canada",Canada,Québec,Montreal,45.5016889,-73.567256,0
a connecticut yankee at king arthur's court ,"Twain, Mark",Twain,A Connecticut Yankee in King Arthur's court,"Twain, Mark",Twain,england,34,US,"England, UK",United Kingdom,England,,52.3555177,-1.1743197,0
the hunchback of notre dame ,"Hugo, Victor",Hugo,The hunchback of Notre-Dame,"Hugo, Victor",Hugo,paris,223,US,"Paris, France",France,Île-de-France,Paris,48.856614,2.3522219,0
different seasons ,"King, Stephen",King,Different seasons,"King, Stephen",King,maine,26,US,"Maine, USA",United States,Maine,,45.25378,-69.44547,0
breath ,"Winton, Tim",Winton,Breath : a novel,"Winton, Tim",Winton,indonesia,7,US,Indonesia,Indonesia,,,-0.789275,113.9213,0
bones to ashes : a novel ,"Reichs, Kathy",Reichs,Bones to ashes,"Reichs, Kathy",Reichs,montreal,32,US,"Montreal, QC, Canada",Canada,Québec,Montreal,45.50169,-73.56726,0
the fires of heaven ,"Jordan, Robert",Jordan,The fires of heaven,"Jordan, Robert",Jordan,samara,53,US,"Samara, Samara Oblast, Russia",Russia,Samara Oblast,Samara,53.2415,50.22125,0
confessions of a thug.,"Taylor, Meadows",Taylor,Confessions of a thug,"Taylor, Meadows",Taylor,hyderabad,13,GB,"Hyderabad, Telangana, India",India,Telangana,Hyderabad,17.385044,78.486671,0
chocolates for breakfast ,"Moore, Pamela",Moore,Chocolates for breakfast,"Moore, Pamela",Moore,new york,33,US,"New York, NY, USA",United States,New York,New York,40.7127837,-74.0059413,0
the odd women ,"Gissing, George",Gissing,The odd women,"Gissing, George",Gissing,london,41,GB,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
little dorrit ,"Dickens, Charles",Dickens,Little Dorrit,"Dickens, Charles",Dickens,marshalsea,39,DE,"Former site of the Marshalsea Prison, Angel Pl, London SE1, UK",United Kingdom,,London,51.5016303,-0.0915582,0
"tom sawyer ; and, huckleberry finn ","Twain, Mark",Twain,Tom Sawyer and Huckleberry Finn,"Twain, Mark",Twain,illinois,16,US,"Illinois, USA",United States,Illinois,,40.6331249,-89.3985283,0
the blue zone : a novel ,"Gross, Andrew",Gross,The blue zone,"Gross, Andrew",Gross,u s ,19,US,United States,United States,,,37.09024,-95.71289,0
solar storms : a novel ,"Hogan, Linda",Hogan,Solar storms : a novel,"Hogan, Linda",Hogan,oklahoma,9,US,"Oklahoma, USA",United States,Oklahoma,,35.00775,-97.09288,0
so disdained ,"Shute, Nevil",Shute,So disdained,"Shute, Nevil",Shute,russia,64,GB,Russia,Russia,,,61.52401,105.318756,0
daphne deane; a novel ,"Hill, Grace Livingston",Hill,Daphne Deane : a novel,"Hill, Grace Livingston",Hill,new york,51,US,"New York, NY, USA",United States,New York,New York,40.7127837,-74.0059413,0
the cape cod lighter; [stories],"O'Hara, John",O'Hara,The Cape Cod lighter,"O'Hara, John",O'Hara,new york,31,US,"New York, NY, USA",United States,New York,New York,40.7127837,-74.0059413,0
can you forgive her? ,"Trollope, Anthony",Trollope,Can you forgive her,"Trollope, Anthony",Trollope,london,34,US,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
the foreseeable future ,"Price, Reynolds",Price,The foreseeable future,"Price, Reynolds",Price,kayes,144,US,"Kayes, Mali",Mali,Kayes,Kayes,14.43679,-11.44527,0
the facts behind the helsinki roccamatios ,"Martel, Yann",Martel,The facts behind the Helsinki Roccamatios,"Martel, Yann",Martel,germany,24,US,Germany,Germany,,,51.16569,10.45153,0
all i asking for is my body ,"Murayama, Milton",Murayama,All I asking for is my body,"Murayama, Milton",Murayama,hawaii,61,US,"Hawaii, USA",United States,Hawaii,,19.89677,-155.5828,0
the curse of the giant hogweed ,"MacLeod, Charlotte",MacLeod,The curse of the giant hogweed,"MacLeod, Charlotte",MacLeod,wales,4,US,"Wales, UK",United Kingdom,Wales,,52.13066,-3.783712,0
